0,0,0,5000000000,1
1,0,1,5000000000,1
2,0,2,5000000000,1
3,0,3,5000000000,1
4,0,4,5000000000,1
5,0,5,5000000000,1
6,0,6,5000000000,1
7,0,7,5000000000,1
8,0,8,5000000000,1
9,0,9,5000000000,1
10,0,10,5000000000,1
11,0,11,5000000000,1
12,0,12,5000000000,1
13,0,13,5000000000,1
14,0,14,5000000000,1
15,0,15,5000000000,1
16,0,16,5000000000,1
17,0,17,5000000000,1
18,0,18,5000000000,1
19,0,19,5000000000,1
20,0,20,5000000000,1
21,0,21,5000000000,1
22,0,22,5000000000,1
23,0,23,5000000000,1
24,0,24,5000000000,1
25,0,25,5000000000,1
26,0,26,5000000000,1
27,0,27,5000000000,1
28,0,28,5000000000,1
29,0,29,5000000000,1
30,0,30,5000000000,1
31,0,31,5000000000,1
32,0,32,5000000000,1
33,0,33,5000000000,1
34,0,34,5000000000,1
35,0,35,5000000000,1
36,0,36,5000000000,1
37,0,37,5000000000,1
38,0,38,5000000000,1
39,0,39,5000000000,1
40,0,40,5000000000,1
41,0,41,5000000000,1
42,0,42,5000000000,1
43,0,43,5000000000,1
44,0,44,5000000000,1
45,0,45,5000000000,1
46,0,46,5000000000,1
47,0,47,5000000000,1
48,0,48,5000000000,1
49,0,49,5000000000,1
50,0,50,5000000000,1
