171,9,0
183,171,1
185,183,1
187,185,1
192,187,0
227,185,0
255,187,1
504,367,0
504,192,0
504,255,0
533,293,0
555,533,0
557,555,0
557,555,1
558,557,0
558,557,1
559,558,0
559,558,1
600,275,0
600,424,0
600,438,0
600,449,0
600,457,0
601,324,0
609,336,0
724,509,0
724,514,0
746,517,0
746,364,0
962,612,0
962,757,0
962,790,0
1075,472,0
1075,480,0
1075,640,0
1075,575,0
1075,529,0
1075,500,0
1075,446,0
1075,775,0
1075,846,0
1075,842,0
1077,414,0
1077,682,0
1077,609,1
1077,550,0
1077,748,0
1077,832,0
1206,1011,0
1206,440,0
1206,606,0
