1231006505,0,0,1,0
1231469665,1,1,1,0
1231469744,2,2,1,0
1231470173,3,3,1,0
1231470988,4,4,1,0
1231471428,5,5,1,0
1231471789,6,6,1,0
1231472369,7,7,1,0
1231472743,8,8,1,0
1231473279,9,9,1,0
1231473952,10,10,1,0
1231474360,11,11,1,0
1231474888,12,12,1,0
1231475020,13,13,1,0
1231475589,14,14,1,0
1231562746,15,15,1,0
1231562758,16,16,1,0
1231563791,17,17,1,0
1231564334,18,18,1,0
1231564974,19,19,1,0
1231565995,20,20,1,0
1231566553,21,21,1,0
1231567467,22,22,1,0
1231567611,23,23,1,0
1231568277,24,24,1,0
1231568646,25,25,1,0
1231570450,26,26,1,0
1231570573,27,27,1,0
1231601457,28,28,1,0
1231601503,29,29,1,0
1231602122,30,30,1,0
1231602736,31,31,1,0
1231603171,32,32,1,0
1231603939,33,33,1,0
1231604338,34,34,1,0
1231605153,35,35,1,0
1231605789,36,36,1,0
1231606762,37,37,1,0
1231607488,38,38,1,0
1231607511,39,39,1,0
1231608208,40,40,1,0
1231608903,41,41,1,0
1231609153,42,42,1,0
1231609477,43,43,1,0
1231610361,44,44,1,0
1231611068,45,45,1,0
1231611793,46,46,1,0
1231612888,47,47,1,0
1231613140,48,48,1,0
1231613802,49,49,1,0
1231614698,50,50,1,0
