scope,addressId,diceName,n_bets,n_positive_fee_bets,pearson_fee_amount,spearman_fee_amount,pearson_positive_fee_amount,spearman_positive_fee_amount,median_fee_btc,median_bet_amount_btc
all_top3,,,1392137,1364877,0.004564087630330053,0.1055869789548278,0.006688464919032659,0.16383096552536774,0.0005,0.05
address,3517367.0,lessthan 48000,235719,229809,0.004430122689258558,0.08679762624059892,0.0055114932205205715,0.13857118350958003,0.0005,0.1
address,3517636.0,lessthan 32768,346206,337590,0.0023060267913505394,0.15330948354933827,0.004652931758621926,0.22432108583678087,0.0005,0.056
address,3524394.0,lessthan 32000,810212,797478,0.011607070609789239,0.078155364718141,0.016995452082531705,0.13160753169962755,0.0005,0.04
