period,addressId,diceName,bet_count
2012-06-03,3524394,lessthan 32000,6667
2012-06-03,3517636,lessthan 32768,1155
2012-06-03,3517367,lessthan 48000,2598
2012-06-04,3524394,lessthan 32000,12591
2012-06-04,3517636,lessthan 32768,620
2012-06-04,3517367,lessthan 48000,1720
2012-06-05,3524394,lessthan 32000,14743
2012-06-05,3517636,lessthan 32768,504
2012-06-05,3517367,lessthan 48000,632
2012-06-06,3524394,lessthan 32000,2555
2012-06-06,3517636,lessthan 32768,231
2012-06-06,3517367,lessthan 48000,260
2012-06-07,3524394,lessthan 32000,10170
2012-06-07,3517636,lessthan 32768,587
2012-06-07,3517367,lessthan 48000,420
2012-06-08,3524394,lessthan 32000,5699
2012-06-08,3517636,lessthan 32768,835
2012-06-08,3517367,lessthan 48000,402
2012-06-09,3524394,lessthan 32000,8715
2012-06-09,3517636,lessthan 32768,732
2012-06-09,3517367,lessthan 48000,1030
2012-06-10,3524394,lessthan 32000,11896
2012-06-10,3517636,lessthan 32768,552
2012-06-10,3517367,lessthan 48000,809
2012-06-11,3524394,lessthan 32000,8760
2012-06-11,3517636,lessthan 32768,500
2012-06-11,3517367,lessthan 48000,938
2012-06-12,3524394,lessthan 32000,1027
2012-06-12,3517636,lessthan 32768,115
2012-06-12,3517367,lessthan 48000,140
2012-06-13,3524394,lessthan 32000,20187
2012-06-13,3517636,lessthan 32768,682
2012-06-13,3517367,lessthan 48000,480
2012-06-14,3524394,lessthan 32000,16882
2012-06-14,3517636,lessthan 32768,1408
2012-06-14,3517367,lessthan 48000,421
2012-06-15,3524394,lessthan 32000,14909
2012-06-15,3517636,lessthan 32768,1922
2012-06-15,3517367,lessthan 48000,364
2012-06-16,3524394,lessthan 32000,9555
2012-06-16,3517636,lessthan 32768,2180
2012-06-16,3517367,lessthan 48000,619
2012-06-17,3524394,lessthan 32000,9168
2012-06-17,3517636,lessthan 32768,1194
2012-06-17,3517367,lessthan 48000,1024
2012-06-18,3524394,lessthan 32000,9849
2012-06-18,3517636,lessthan 32768,1239
2012-06-18,3517367,lessthan 48000,751
2012-06-19,3524394,lessthan 32000,7472
2012-06-19,3517636,lessthan 32768,1407
2012-06-19,3517367,lessthan 48000,1863
2012-06-20,3524394,lessthan 32000,3794
2012-06-20,3517636,lessthan 32768,1528
2012-06-20,3517367,lessthan 48000,1335
2012-06-21,3524394,lessthan 32000,2878
2012-06-21,3517636,lessthan 32768,1568
2012-06-21,3517367,lessthan 48000,1132
2012-06-22,3524394,lessthan 32000,2602
2012-06-22,3517636,lessthan 32768,1471
2012-06-22,3517367,lessthan 48000,639
2012-06-23,3524394,lessthan 32000,2213
2012-06-23,3517636,lessthan 32768,1229
2012-06-23,3517367,lessthan 48000,522
2012-06-24,3524394,lessthan 32000,2453
2012-06-24,3517636,lessthan 32768,837
2012-06-24,3517367,lessthan 48000,1222
2012-06-25,3524394,lessthan 32000,2186
2012-06-25,3517636,lessthan 32768,1188
2012-06-25,3517367,lessthan 48000,980
2012-06-26,3524394,lessthan 32000,2756
2012-06-26,3517636,lessthan 32768,1608
2012-06-26,3517367,lessthan 48000,1126
2012-06-27,3524394,lessthan 32000,1449
2012-06-27,3517636,lessthan 32768,583
2012-06-27,3517367,lessthan 48000,1085
2012-06-28,3524394,lessthan 32000,3480
2012-06-28,3517636,lessthan 32768,619
2012-06-28,3517367,lessthan 48000,860
2012-06-29,3524394,lessthan 32000,1549
2012-06-29,3517636,lessthan 32768,417
2012-06-29,3517367,lessthan 48000,412
2012-06-30,3524394,lessthan 32000,2319
2012-06-30,3517636,lessthan 32768,382
2012-06-30,3517367,lessthan 48000,271
2012-07-01,3524394,lessthan 32000,1154
2012-07-01,3517636,lessthan 32768,384
2012-07-01,3517367,lessthan 48000,109
2012-07-02,3524394,lessthan 32000,2229
2012-07-02,3517636,lessthan 32768,471
2012-07-02,3517367,lessthan 48000,246
2012-07-03,3524394,lessthan 32000,1433
2012-07-03,3517636,lessthan 32768,900
2012-07-03,3517367,lessthan 48000,290
2012-07-04,3524394,lessthan 32000,1638
2012-07-04,3517636,lessthan 32768,860
2012-07-04,3517367,lessthan 48000,505
2012-07-05,3524394,lessthan 32000,1405
2012-07-05,3517636,lessthan 32768,1791
2012-07-05,3517367,lessthan 48000,448
2012-07-06,3524394,lessthan 32000,1533
2012-07-06,3517636,lessthan 32768,2125
2012-07-06,3517367,lessthan 48000,595
2012-07-07,3524394,lessthan 32000,741
2012-07-07,3517636,lessthan 32768,1202
2012-07-07,3517367,lessthan 48000,749
2012-07-08,3524394,lessthan 32000,1437
2012-07-08,3517636,lessthan 32768,1090
2012-07-08,3517367,lessthan 48000,326
2012-07-09,3524394,lessthan 32000,1388
2012-07-09,3517636,lessthan 32768,1541
2012-07-09,3517367,lessthan 48000,287
2012-07-10,3524394,lessthan 32000,696
2012-07-10,3517636,lessthan 32768,1286
2012-07-10,3517367,lessthan 48000,1074
2012-07-11,3524394,lessthan 32000,860
2012-07-11,3517636,lessthan 32768,1658
2012-07-11,3517367,lessthan 48000,865
2012-07-12,3524394,lessthan 32000,1444
2012-07-12,3517636,lessthan 32768,671
2012-07-12,3517367,lessthan 48000,456
2012-07-13,3524394,lessthan 32000,1554
2012-07-13,3517636,lessthan 32768,1162
2012-07-13,3517367,lessthan 48000,654
2012-07-14,3524394,lessthan 32000,816
2012-07-14,3517636,lessthan 32768,215
2012-07-14,3517367,lessthan 48000,756
2012-07-15,3524394,lessthan 32000,633
2012-07-15,3517636,lessthan 32768,240
2012-07-15,3517367,lessthan 48000,3884
2012-07-16,3524394,lessthan 32000,672
2012-07-16,3517636,lessthan 32768,414
