period,addressId,diceName,bet_count
2012-04-23 06:00,3524394,lessthan 32000,0
2012-04-23 06:00,3517636,lessthan 32768,0
2012-04-23 06:00,3517367,lessthan 48000,0
2012-04-23 07:00,3524394,lessthan 32000,0
2012-04-23 07:00,3517636,lessthan 32768,0
2012-04-23 07:00,3517367,lessthan 48000,0
2012-04-23 08:00,3524394,lessthan 32000,0
2012-04-23 08:00,3517636,lessthan 32768,0
2012-04-23 08:00,3517367,lessthan 48000,0
2012-04-23 09:00,3524394,lessthan 32000,0
2012-04-23 09:00,3517636,lessthan 32768,0
2012-04-23 09:00,3517367,lessthan 48000,0
2012-04-23 10:00,3524394,lessthan 32000,0
2012-04-23 10:00,3517636,lessthan 32768,0
2012-04-23 10:00,3517367,lessthan 48000,0
2012-04-23 11:00,3524394,lessthan 32000,0
2012-04-23 11:00,3517636,lessthan 32768,0
2012-04-23 11:00,3517367,lessthan 48000,0
2012-04-23 12:00,3524394,lessthan 32000,0
2012-04-23 12:00,3517636,lessthan 32768,0
2012-04-23 12:00,3517367,lessthan 48000,0
2012-04-23 13:00,3524394,lessthan 32000,0
2012-04-23 13:00,3517636,lessthan 32768,0
2012-04-23 13:00,3517367,lessthan 48000,0
2012-04-23 14:00,3524394,lessthan 32000,0
2012-04-23 14:00,3517636,lessthan 32768,0
2012-04-23 14:00,3517367,lessthan 48000,0
2012-04-23 15:00,3524394,lessthan 32000,0
2012-04-23 15:00,3517636,lessthan 32768,0
2012-04-23 15:00,3517367,lessthan 48000,0
2012-04-23 16:00,3524394,lessthan 32000,0
2012-04-23 16:00,3517636,lessthan 32768,0
2012-04-23 16:00,3517367,lessthan 48000,0
2012-04-23 17:00,3524394,lessthan 32000,0
2012-04-23 17:00,3517636,lessthan 32768,0
2012-04-23 17:00,3517367,lessthan 48000,0
2012-04-23 18:00,3524394,lessthan 32000,0
2012-04-23 18:00,3517636,lessthan 32768,0
2012-04-23 18:00,3517367,lessthan 48000,0
2012-04-23 19:00,3524394,lessthan 32000,0
